ticker,name,market,security_type,ohlcv_rows,trade_dates,min_date,max_date,has_krx
475150,SK이터닉스,KOSPI,,519,519,2024-03-29,2026-05-20,t
475230,엔알비,KOSDAQ,,198,198,2025-07-28,2026-05-20,t
475240,하나32호스팩,KOSDAQ,,521,521,2024-03-27,2026-05-20,t
475250,하나33호스팩,KOSDAQ,,502,502,2024-04-24,2026-05-20,t
475400,씨메스로보틱스,KOSDAQ,,382,382,2024-10-24,2026-05-20,t
475430,키스트론,KOSDAQ,,236,236,2025-06-02,2026-05-20,t
475460,미트박스,KOSDAQ,,320,320,2025-01-23,2026-05-20,t
475560,더본코리아,KOSPI,,373,373,2024-11-06,2026-05-20,t
475580,에이럭스,KOSDAQ,,376,376,2024-11-01,2026-05-20,t
475660,에스켐,KOSDAQ,,365,365,2024-11-18,2026-05-20,t
475830,오름테라퓨틱,KOSDAQ,,308,308,2025-02-14,2026-05-20,t
475960,토모큐브,KOSDAQ,,372,372,2024-11-07,2026-05-20,t
476040,오가노이드사이언스,KOSDAQ,,252,252,2025-05-09,2026-05-20,t
476060,온코닉테라퓨틱스,KOSDAQ,,342,342,2024-12-19,2026-05-20,t
476080,M83,KOSDAQ,,421,421,2024-08-22,2026-05-20,t
476470,KB제28호스팩,KOSDAQ,,277,277,2024-05-17,2025-07-08,t
476830,알지노믹스,KOSDAQ,,101,101,2025-12-18,2026-05-20,t
477340,에이치엠씨제7호스팩,KOSDAQ,,463,463,2024-06-24,2026-05-20,t
477380,미래에셋비전스팩4호,KOSDAQ,,480,480,2024-05-29,2026-05-20,t
477470,미래에셋비전스팩5호,KOSDAQ,,466,466,2024-06-19,2026-05-20,t
477530,한국제14호스팩,KOSDAQ,,209,209,2024-06-19,2025-04-28,t
477760,DB금융스팩12호,KOSDAQ,,467,467,2024-06-18,2026-05-20,t
477850,마키나락스,KOSDAQ,,1,1,2026-05-20,2026-05-20,t
478110,이베스트스팩6호,KOSDAQ,,449,449,2024-07-12,2026-05-20,t
478340,나라스페이스테크놀로지,KOSDAQ,,102,102,2025-12-17,2026-05-20,t
478390,KB제29호스팩,KOSDAQ,,464,464,2024-06-21,2026-05-20,t
478440,미래에셋비전스팩6호,KOSDAQ,,463,463,2024-06-24,2026-05-20,t
478560,블랙야크아이앤씨,KOSDAQ,,322,322,2025-01-21,2026-05-20,t
478780,대신밸런스제18호스팩,KOSDAQ,,336,336,2024-08-22,2026-01-13,t
479880,한국제15호스팩,KOSDAQ,,461,461,2024-06-26,2026-05-20,t
479960,위너스일렉,KOSDAQ,,302,302,2025-02-24,2026-05-20,t
480370,씨케이솔루션,KOSPI,,288,288,2025-03-17,2026-05-20,t
481070,에이유브랜즈,KOSDAQ,,275,275,2025-04-03,2026-05-20,t
481850,신한글로벌액티브리츠,KOSPI,,458,458,2024-07-01,2026-05-20,t
481890,엔에이치스팩31호,KOSDAQ,,439,439,2024-07-26,2026-05-20,t
